node_id,similar_node_id,neighbor_rank,feature_distance,feature_similarity,shared_complete_business_count,median_cost_smape_on_shared_business,median_revenue_smape_on_shared_business
ant23a9ffe5db619348fb6238383ec02,ant2cad74c5b3a803cebb10e1fd0350c,4,0.07225769758224487,0.9277423024177551,2,1.095654478007419,0.9520824003582622
ant283dbca285449339085869c60c00c,ant2caea584746a43f0f9dd8d0034605,9,0.07225769758224487,0.9277423024177551,0,,
ant28f46e9e1ac7c31bba6e52b3e8a0b,ant26067e1746f7e32d29fc15e318901,6,0.07225805521011353,0.9277419447898865,1,1.2958801498127344,0.7751937984496123
ant2fc95da3d545f33899d3bf12ee702,ant2bcf5db4cee4b3745abf50657a708,10,0.0722583532333374,0.9277416467666626,1,0.1743341404358354,0.124876114965312
ant694f53f990491b44c2baf5bd9d50c,antdf65762c8f14c043fd9ef4f927900,2,0.07225853204727173,0.9277414679527283,0,,
ant2895a144afc4f3745b9094eb6310b,ant2ed01d4da791038558c2e15e22f06,3,0.07225930690765381,0.9277406930923462,0,,
5cbd5862f8499981662c85d56bbd7309,8e1a9d856fcbfc43e0ce7104f8b03107,1,0.07225936651229858,0.9277406334877014,5,1.1056080728411528,0.6085109949984632
antfcty010000046609ld12510210004,ant259457c9b8c8033e68f57c4f4dd06,8,0.07225936651229858,0.9277406334877014,0,,
ant2731c9f97335936a795e70159b408,ant2def5e62980323910bbeb90323208,2,0.07225954532623291,0.9277404546737671,0,,
ant240c4cfb411db32858037615f7902,ant20e9bbe5f265c3c36a83aba3daa0a,9,0.07226049900054932,0.9277395009994507,0,,
ant23db85e228cd4334180b4ea2ee709,ant2ca8a0b048b4f303db249d1af5300,3,0.07226055860519409,0.9277394413948059,1,1.6182117388919364,1.6907097518753607
ant2660b3c3141f939979a1572616c06,ant2ee2322cc678435d19651e136ed04,8,0.07226109504699707,0.9277389049530029,0,,
ant2e7e6c2b036033ae3b42f05e01a03,ant21166ec40e9f43a4dac77a40af30a,10,0.07226163148880005,0.9277383685112,0,,
ant20a7000dd09973154b82e1e7b3b03,ant29532a8a65a1b332585c05265b202,10,0.07226210832595825,0.9277378916740417,0,,
ant260caba5234a33cd49dedad5f6408,ant250da22c094963dd9b9ba03048f09,7,0.07226234674453735,0.9277376532554626,0,,
64992ce782f49ba374331def7c0eda00,912ef897f70a8b2332059464fa397501,3,0.07226252555847168,0.9277374744415283,1,1.138317255079737,1.119818248663732
ant2173e9fdd776e3a3ca28853be4405,ant25af5dc79598635a4a1dc3758780c,9,0.07226252555847168,0.9277374744415283,2,0.2574431574431573,0.25429401169342797
ant2f17063bd58903a20b2d86e253406,ant218f2412ed3863026a7b73c39790b,7,0.07226258516311646,0.9277374148368835,1,1.388499298737728,1.3031914893617023
ant2153a67937d623910b955d43dbf07,ant29bd3484e099a3ed38f977eb8a301,4,0.07226276397705078,0.9277372360229492,0,,
ant24c0f598c973c36b3b16dd1dd5a0c,ant255913bc659d93788b612576f6c05,3,0.07226288318634033,0.9277371168136597,0,,
ant26fa966b7e8f33aad998d59278d03,ant26b48b9daf4ed322eb90af41eb70a,8,0.07226300239562988,0.9277369976043701,1,0.1694915254237289,0.12712826333711685
ant2210fd262c91f3302a20bd54a5903,ant2cb76849773133e55aa04e5fdf007,7,0.07226347923278809,0.9277365207672119,0,,
ant240eb378aa012373c8b9645c39f00,ant2d2b280de1d343d9f86f07517db02,2,0.07226353883743286,0.9277364611625671,0,,
ant0f615efce10e2be88b11535a3e503,ant9fa79cce68e2cfe1769c99163f302,5,0.07226377725601196,0.927736222743988,1,0.6860848304454131,0.6320643819513517
ant265ff0fbba18e35868796dba01b0c,ant2db01104fb4c03f0d93d85b5a4e06,3,0.07226389646530151,0.9277361035346985,0,,
ant26293abba32c4352c964df5866508,ant2c36356a461c53d839a6e61567606,4,0.07226395606994629,0.9277360439300537,2,1.2667849061219496,1.4445097117794485
ant6eed0f249d19c5268e581c0904f0b,antdabf31cd94bc97e50ec931351b703,6,0.07226413488388062,0.9277358651161194,2,1.3806402326326424,1.3376197485128904
antfcty010000046609ld16185060002,ant2aee6b88f28713f0d99483af96e00,6,0.07226425409317017,0.9277357459068298,0,,
