model,feature,importance
profit_similar,join_biz_bw,0.0
profit_similar,join_yesterday_avg_peak_ratio,0.0
profit_similar,attribute_missing_flag,0.0
profit_similar,type_conflict,0.0
profit_similar,neighbor_support,0.0
revenue_base,analysis_yesterday_p95_bw,0.2805093
revenue_base,bw,0.11962865
revenue_base,analysis_dby_p95_bw,0.087071195
revenue_base,resourcetype,0.08225795
revenue_base,join_actualbw,0.0437544
revenue_base,business_prior,0.042107828
revenue_base,join_limitbw,0.032469522
revenue_base,node_support_log1p,0.02253708
revenue_base,dialtype,0.02191676
revenue_base,business,0.019919727
revenue_base,node_business_interaction_prior,0.019789904
revenue_base,node_prior,0.018548045
revenue_base,join_cpu_totalphysicals,0.01610084
revenue_base,nattype,0.01549615
revenue_base,outcome_delivery_type,0.012563442
revenue_base,business_std,0.012220186
revenue_base,netbenchlimitbandwidth,0.012209351
revenue_base,city,0.0106742075
revenue_base,join_disks_ssd_size,0.009255246
revenue_base,analysis_supply_side_delivery_type,0.0076790657
revenue_base,actualbandwidth,0.006948233
revenue_base,analysis_tcpnattype,0.0067056003
revenue_base,corenum,0.006599552
revenue_base,analysis_yesterday_snapshot_netbench_bw,0.0063621458
revenue_base,attribute_delivery_type,0.005574115
revenue_base,join_cpu_totalthreads,0.0054842476
revenue_base,node_std,0.005045903
revenue_base,province,0.0048937253
revenue_base,node_model,0.004136939
revenue_base,dial_lbtype_v6,0.0040275464
revenue_base,join_cpu_corenumber,0.0038930622
revenue_base,ssddisksize,0.0038554594
revenue_base,business_support_log1p,0.0036865622
revenue_base,join_disks_totalsize,0.0034549292
revenue_base,hdddisksize,0.0028064346
revenue_base,sevendayavg95ratio,0.002757868
revenue_base,analysis_yesterday_snapshot_bw,0.002543439
revenue_base,scheduleisps,0.0024615363
revenue_base,join_disks_total_size,0.0021969823
revenue_base,isp,0.0021856714
revenue_base,analysis_lastdeployscenario,0.0021535242
revenue_base,totaldisksize,0.0018318128
revenue_base,node_manufacturer,0.00181259
revenue_base,memtotal,0.0017088414
revenue_base,join_cpu_totalcores,0.0016931695
revenue_base,systemdisksize,0.0016397802
revenue_base,join_isbantransprov,0.0016162228
revenue_base,join_disks_system_size,0.0014638858
revenue_base,join_memtotal,0.0014590839
revenue_base,analysis_issupportipv6,0.001430781
revenue_base,dial_lbtype,0.0012312626
revenue_base,type_conflict,0.00117397
revenue_base,qoskiller_status,0.0011310109
revenue_base,analysis_udpnattype,0.0009964167
revenue_base,analysis_cooperationtype,0.0008694615
revenue_base,join_disks_hdd_size,0.00083594926
revenue_base,join_ismanaged,0.00076928345
revenue_base,dial_ipv6_enable,0.00072808436
revenue_base,analysis_upnpstate,0.0007118509
revenue_base,join_yesterday_avg_peak_ratio,0.0006420861
revenue_base,join_deploystate,0.00055285817
revenue_base,idc_name,0.00044553544
revenue_base,dial_on_physical_nic,0.0004218312
revenue_base,join_biz_bw,0.00035192107
revenue_base,regsource,0.0
revenue_base,customermode,0.0
revenue_base,device_type,0.0
revenue_base,arch_type,0.0
revenue_base,isvm,0.0
revenue_base,os,0.0
revenue_base,arch,0.0
revenue_base,hardwaretype,0.0
revenue_base,idc_id,0.0
revenue_base,analysis_nodecustmertype,0.0
revenue_base,analysis_nodedeliverytype,0.0
revenue_base,analysis_cgroupversion,0.0
revenue_base,analysis_lastdeploystate,0.0
revenue_base,analysis_isroot,0.0
revenue_base,join_isminorisp,0.0
revenue_base,join_isipv6schedule,0.0
revenue_base,join_natforwardenable,0.0
revenue_base,join_idcbindtype,0.0
revenue_base,attribute_missing_flag,0.0
revenue_similar,neighbor_prior_k3,0.2666292
revenue_similar,neighbor_prior_k5,0.26289436
revenue_similar,neighbor_prior_k10,0.14391758
revenue_similar,neighbor_prior_k20,0.06622633
revenue_similar,analysis_yesterday_p95_bw,0.043820906
revenue_similar,analysis_dby_p95_bw,0.02769049
revenue_similar,join_actualbw,0.019278048
revenue_similar,join_limitbw,0.014696017
revenue_similar,bw,0.009490936
revenue_similar,qoskiller_status,0.007978733
revenue_similar,node_prior,0.0073533985
revenue_similar,city,0.006746804
revenue_similar,business_prior,0.0063153706
revenue_similar,node_support_log1p,0.005938469
revenue_similar,business,0.0053936574
revenue_similar,outcome_delivery_type,0.005334183
revenue_similar,node_std,0.005080104
revenue_similar,join_cpu_corenumber,0.0045293802
revenue_similar,analysis_nodecustmertype,0.004454156
revenue_similar,actualbandwidth,0.004380159
revenue_similar,business_support_log1p,0.004187925
revenue_similar,neighbor_std_k10,0.003687733
revenue_similar,corenum,0.0036654696
revenue_similar,node_business_interaction_prior,0.003557661
revenue_similar,netbenchlimitbandwidth,0.003513148
revenue_similar,business_std,0.0034859444
revenue_similar,analysis_yesterday_snapshot_netbench_bw,0.0034813671
revenue_similar,join_disks_ssd_size,0.0034739499
revenue_similar,ssddisksize,0.0033360603
revenue_similar,join_disks_totalsize,0.003201562
revenue_similar,node_model,0.0029779116
revenue_similar,analysis_yesterday_snapshot_bw,0.0029395397
revenue_similar,neighbor_similarity_max,0.002688479
revenue_similar,join_disks_total_size,0.0026555448
revenue_similar,neighbor_similarity_mean,0.0024448645
revenue_similar,sevendayavg95ratio,0.0022100052
revenue_similar,analysis_tcpnattype,0.0020016453
revenue_similar,join_cpu_totalthreads,0.0019735058
revenue_similar,memtotal,0.0019405269
revenue_similar,province,0.0018868202
revenue_similar,dial_lbtype_v6,0.0018501793
revenue_similar,hdddisksize,0.0018303117
revenue_similar,node_manufacturer,0.0017196409
revenue_similar,join_disks_hdd_size,0.0017031436
revenue_similar,analysis_lastdeployscenario,0.0016797028
revenue_similar,scheduleisps,0.0012761262
revenue_similar,isp,0.0012472749
revenue_similar,totaldisksize,0.001227478
revenue_similar,systemdisksize,0.0012246149
revenue_similar,analysis_supply_side_delivery_type,0.0011249663
revenue_similar,analysis_issupportipv6,0.0010755539
revenue_similar,join_disks_system_size,0.0010694598
revenue_similar,join_memtotal,0.0010446896
revenue_similar,join_cpu_totalcores,0.00089784065
revenue_similar,dialtype,0.00073305436
revenue_similar,join_isbantransprov,0.00064968824
revenue_similar,analysis_upnpstate,0.0005920706
revenue_similar,analysis_udpnattype,0.00058680313
revenue_similar,dial_ipv6_enable,0.0004288705
revenue_similar,dial_lbtype,0.00042660962
revenue_similar,nattype,0.00015388217
revenue_similar,attribute_delivery_type,0.0
revenue_similar,resourcetype,0.0
revenue_similar,regsource,0.0
revenue_similar,customermode,0.0
revenue_similar,device_type,0.0
revenue_similar,arch_type,0.0
revenue_similar,isvm,0.0
revenue_similar,os,0.0
revenue_similar,arch,0.0
revenue_similar,hardwaretype,0.0
revenue_similar,idc_id,0.0
revenue_similar,idc_name,0.0
revenue_similar,analysis_nodedeliverytype,0.0
revenue_similar,analysis_cgroupversion,0.0
revenue_similar,analysis_lastdeploystate,0.0
revenue_similar,analysis_cooperationtype,0.0
revenue_similar,analysis_isroot,0.0
revenue_similar,dial_on_physical_nic,0.0
revenue_similar,join_ismanaged,0.0
revenue_similar,join_isminorisp,0.0
revenue_similar,join_isipv6schedule,0.0
revenue_similar,join_natforwardenable,0.0
revenue_similar,join_idcbindtype,0.0
revenue_similar,join_deploystate,0.0
revenue_similar,join_cpu_totalphysicals,0.0
revenue_similar,join_biz_bw,0.0
revenue_similar,join_yesterday_avg_peak_ratio,0.0
revenue_similar,attribute_missing_flag,0.0
revenue_similar,type_conflict,0.0
revenue_similar,neighbor_support,0.0
