business,cost_sum,cost_count,cost_mean,cost_std,cost_weighted_sum,cost_weight_sum,revenue_sum,revenue_count,revenue_mean,revenue_std,revenue_weighted_sum,revenue_weight_sum,profit_sum,profit_count,profit_mean,profit_std,profit_weighted_sum,profit_weight_sum
10000054,16.681458989796923,19,0.8779715257787855,1.1054625697357208,15.523437198747729,14.9034977726961,30.81508821647029,18.0,1.7119493453594605,2.041348718635181,28.351599269158903,14.061342568783072,14.163629226673367,18.0,0.7868682903707426,1.043060982979872,12.951789386991925,14.061342568783072
10000064,45237.506032687976,1325,34.14151398693432,37.83014050667995,38713.38049677262,1054.1246732550471,51455.935001704594,1278.0,40.26285993873599,44.88521618430102,44109.3330462542,1025.1216396885106,7226.923421397576,1278.0,5.654869656805615,14.25548512190664,6031.268594032121,1025.1216396885106
10000069,23162.83141701514,242,95.71417940915347,91.61827902018777,18164.830477872587,200.7400262047454,28554.759148443976,240.0,118.97816311851656,111.17830690131133,22942.945969494933,199.88692655861502,5425.957731428838,240.0,22.608157214286827,35.89272179584504,4667.500903289728,199.37725309735274
10000074,33604.90893066388,345,97.40553313235907,122.19719414579976,30190.99583950309,278.1580556589567,36520.72931157414,336.0,108.69264676063733,129.8795796129796,32298.3836867896,270.50056885218305,2953.532280910264,336.0,8.790274645566262,21.909343864113453,2331.1682230784136,270.50056885218305
10000079,106889.20671918015,1575,67.86616299630485,57.45289635905099,99069.86828636081,1386.215036604775,124855.00525673981,1544.0,80.86464071032371,68.07016829732312,115080.52817480481,1371.4531338415723,18473.473537559657,1544.0,11.964684933652627,19.50973829371223,16438.003318552335,1371.4531338415723
10000088,5857.63622473049,107,54.74426378252794,42.99319232762182,3779.781053333767,64.36206913110337,6259.697414455211,94.0,66.59252568569374,52.2555383981243,4031.125861421106,59.07841961643635,1141.1611897247215,94.0,12.140012656645974,34.22539282269901,538.4370323899792,59.07841961643635
10000096,2014.474652586207,4,503.61866314655174,101.23445323021288,1915.1666499338382,3.7559289460184546,2478.5488310344826,4.0,619.6372077586207,137.92779364456342,2210.036856538903,3.597614304667197,464.0741784482759,4.0,116.01854461206898,112.37702889998366,359.2855093078927,3.597614304667197
10000109,44.641718208356146,6,7.440286368059358,6.17730387427524,36.30786008590337,5.414213562373095,,,,,,,,,,,,
10000122,4205.620982804999,116,36.25535330004309,35.770451148574146,3832.3297408518124,91.30462121673958,6675.242498733265,114.0,58.55475876081812,57.89495817947777,6119.679349786079,89.84450081739776,2472.971515928266,114.0,21.692732595861983,27.753434089156706,2304.2849297035873,89.84450081739776
10000123,10469.880281597752,353,29.659717511608363,33.11497053854176,8964.09689325742,274.4989636389496,14945.41431366423,350.0,42.701183753326376,46.67454367496806,12549.175557072133,271.12697674495433,4497.984032066478,350.0,12.851382948761366,18.657750388985406,3652.9272966517497,271.12697674495433
